Entity,Code,Year,Oil - Proved reserves
Africa,,1980,53436519622.802734
Africa,,1981,56281772613.52539
Africa,,1982,58270778656.00586
Africa,,1983,58038757324.21875
Africa,,1984,57766578674.31641
Africa,,1985,57037384033.203125
Africa,,1986,57966056823.73047
Africa,,1987,58663578033.447266
Africa,,1988,58996753692.62695
Africa,,1989,59086524963.37891
Africa,,1990,58725811004.63867
Africa,,1991,60371982574.46289
Africa,,1992,61079078674.31641
Africa,,1993,61233070373.53516
Africa,,1994,65008346557.61719
Africa,,1995,71952926635.74219
Africa,,1996,74932235717.77344
Africa,,1997,75258781433.10547
Africa,,1998,77172286987.30469
Africa,,1999,84719528198.24219
Africa,,2000,92904434204.10156
Africa,,2001,96607551574.70703
Africa,,2002,101601440429.6875
Africa,,2003,106524337768.55469
Africa,,2004,107902839660.64453
Africa,,2005,111749000549.3164
Africa,,2006,117579528808.59375
Africa,,2007,120038070678.71094
Africa,,2008,120751289367.67578
Africa,,2009,122973487854.0039
Africa,,2010,124948120117.1875
Africa,,2011,124622024536.13281
Africa,,2012,127369110107.42188
Africa,,2013,127521408081.05469
Africa,,2014,126756652832.03125
Africa,,2015,127627975463.86719
Africa,,2016,127881568908.6914
Africa,,2017,126617965698.24219
Africa,,2018,125706367492.67578
Africa,,2019,125027885437.01172
Africa,,2020,125111946105.95703
Africa (BP),,1980,53436519622.802734
Africa (BP),,1981,56281772613.52539
Africa (BP),,1982,58270778656.00586
Africa (BP),,1983,58038757324.21875
Africa (BP),,1984,57766582489.01367
Africa (BP),,1985,57037384033.203125
Africa (BP),,1986,57966056823.73047
Africa (BP),,1987,58663581848.14453
Africa (BP),,1988,58996753692.62695
Africa (BP),,1989,59086524963.37891
Africa (BP),,1990,58725811004.63867
Africa (BP),,1991,60371982574.46289
Africa (BP),,1992,61079082489.01367
Africa (BP),,1993,61233074188.23242
Africa (BP),,1994,65008346557.61719
Africa (BP),,1995,71952926635.74219
Africa (BP),,1996,74932235717.77344
Africa (BP),,1997,75258789062.5
Africa (BP),,1998,77172286987.30469
Africa (BP),,1999,84719520568.84766
Africa (BP),,2000,92904434204.10156
Africa (BP),,2001,96607551574.70703
Africa (BP),,2002,101601440429.6875
Africa (BP),,2003,106524337768.55469
Africa (BP),,2004,107902839660.64453
Africa (BP),,2005,111749000549.3164
Africa (BP),,2006,117579528808.59375
Africa (BP),,2007,120038070678.71094
Africa (BP),,2008,120751289367.67578
Africa (BP),,2009,122973487854.0039
Africa (BP),,2010,124948120117.1875
Africa (BP),,2011,124622024536.13281
Africa (BP),,2012,127369110107.42188
Africa (BP),,2013,127521415710.44922
Africa (BP),,2014,126756645202.63672
Africa (BP),,2015,127627975463.86719
Africa (BP),,2016,127881568908.6914
Africa (BP),,2017,126617973327.63672
Africa (BP),,2018,125706367492.67578
Africa (BP),,2019,125027885437.01172
Africa (BP),,2020,125111953735.35156
Algeria,DZA,1980,8199999809.265137
Algeria,DZA,1981,8079999923.706055
Algeria,DZA,1982,9439999580.3833
Algeria,DZA,1983,9220000267.028809
Algeria,DZA,1984,9000000000
Algeria,DZA,1985,8819999694.824219
Algeria,DZA,1986,8800000190.734863
Algeria,DZA,1987,8564000129.699707
Algeria,DZA,1988,9199999809.265137
Algeria,DZA,1989,9236000061.035156
Algeria,DZA,1990,9199999809.265137
Algeria,DZA,1991,9199999809.265137
Algeria,DZA,1992,9199999809.265137
Algeria,DZA,1993,9199999809.265137
Algeria,DZA,1994,9979000091.552734
Algeria,DZA,1995,9979000091.552734
Algeria,DZA,1996,10800000190.734863
Algeria,DZA,1997,11199999809.265137
Algeria,DZA,1998,11314000129.699707
Algeria,DZA,1999,11314000129.699707
Algeria,DZA,2000,11314000129.699707
Algeria,DZA,2001,11314000129.699707
Algeria,DZA,2002,11314000129.699707
Algeria,DZA,2003,11800000190.734863
Algeria,DZA,2004,11800000190.734863
Algeria,DZA,2005,12270000457.763672
Algeria,DZA,2006,12270000457.763672
Algeria,DZA,2007,12199999809.265137
Algeria,DZA,2008,12199999809.265137
Algeria,DZA,2009,12199999809.265137
Algeria,DZA,2010,12199999809.265137
Algeria,DZA,2011,12199999809.265137
Algeria,DZA,2012,12199999809.265137
Algeria,DZA,2013,12199999809.265137
Algeria,DZA,2014,12199999809.265137
Algeria,DZA,2015,12199999809.265137
Algeria,DZA,2016,12199999809.265137
Algeria,DZA,2017,12199999809.265137
Algeria,DZA,2018,12199999809.265137
Algeria,DZA,2019,12199999809.265137
Algeria,DZA,2020,12199999809.265137
Angola,AGO,1980,1375000000
Angola,AGO,1981,1108000040.0543213
Angola,AGO,1982,1457000017.1661377
Angola,AGO,1983,1715000033.378601
Angola,AGO,1984,2147000074.3865967
Angola,AGO,1985,2017999887.4664307
Angola,AGO,1986,1399999976.158142
Angola,AGO,1987,2000000000
Angola,AGO,1988,2000000000
Angola,AGO,1989,2073999881.7443848
Angola,AGO,1990,1625000000
Angola,AGO,1991,1450000047.6837158
Angola,AGO,1992,1333999991.4169312
Angola,AGO,1993,1901000022.8881836
Angola,AGO,1994,2964999914.1693115
Angola,AGO,1995,3125000000
Angola,AGO,1996,3694999933.242798
Angola,AGO,1997,3900000095.3674316
Angola,AGO,1998,4030000209.8083496
Angola,AGO,1999,5050000190.734863
Angola,AGO,2000,5972000122.0703125
Angola,AGO,2001,6500000000
Angola,AGO,2002,8899999618.530273
Angola,AGO,2003,8800999641.418457
Angola,AGO,2004,9034999847.41211
Angola,AGO,2005,9050000190.734863
Angola,AGO,2006,9329999923.706055
Angola,AGO,2007,9500000000
Angola,AGO,2008,9500000000
Angola,AGO,2009,9500000000
Angola,AGO,2010,9055000305.175781
Angola,AGO,2011,9055000305.175781
Angola,AGO,2012,9055000305.175781
Angola,AGO,2013,9010999679.56543
Angola,AGO,2014,8423000335.693359
Angola,AGO,2015,9524000167.84668
Angola,AGO,2016,9522999763.48877
Angola,AGO,2017,8383999824.523926
Angola,AGO,2018,8159999847.412109
Angola,AGO,2019,7782999992.370605
Angola,AGO,2020,7782999992.370605
Argentina,ARG,1980,2457000017.1661377
Argentina,ARG,1981,2171652078.62854
Argentina,ARG,1982,1949599981.3079834
Argentina,ARG,1983,2449769020.0805664
Argentina,ARG,1984,2348999977.1118164
Argentina,ARG,1985,2240000009.536743
Argentina,ARG,1986,2233000040.0543213
Argentina,ARG,1987,2246000051.498413
Argentina,ARG,1988,2279900074.005127
Argentina,ARG,1989,2167700052.2613525
Argentina,ARG,1990,1569987058.6395264
Argentina,ARG,1991,1683266520.500183
Argentina,ARG,1992,2017437934.8754883
Argentina,ARG,1993,2216787099.838257
Argentina,ARG,1994,2252632856.3690186
Argentina,ARG,1995,2386366844.177246
Argentina,ARG,1996,2600434303.2836914
Argentina,ARG,1997,2621177911.758423
Argentina,ARG,1998,2753414869.3084717
Argentina,ARG,1999,3071188688.2781982
Argentina,ARG,2000,2973702907.562256
Argentina,ARG,2001,2878682851.791382
Argentina,ARG,2002,2820508480.0720215
Argentina,ARG,2003,2674509286.880493
Argentina,ARG,2004,2478009223.9379883
Argentina,ARG,2005,2180262804.031372
Argentina,ARG,2006,2586760044.0979004
Argentina,ARG,2007,2616020441.055298
Argentina,ARG,2008,2520308256.149292
Argentina,ARG,2009,2511496305.4656982
Argentina,ARG,2010,2524151802.0629883
Argentina,ARG,2011,2525000095.3674316
Argentina,ARG,2012,2354209423.0651855
Argentina,ARG,2013,2329584121.7041016
Argentina,ARG,2014,2379709005.355835
Argentina,ARG,2015,2394723892.211914
Argentina,ARG,2016,2162209033.9660645
Argentina,ARG,2017,2016765117.6452637
Argentina,ARG,2018,2386857986.4501953
Argentina,ARG,2019,2482707500.4577637
Argentina,ARG,2020,2482707500.4577637
Asia,,1980,393861450195.3125
Asia,,1981,397098266601.5625
Asia,,1982,420369842529.2969
Asia,,1983,430019348144.53125
Asia,,1984,465041748046.875
Asia,,1985,466378143310.5469
Asia,,1986,572003845214.8438
Asia,,1987,601644470214.8438
Asia,,1988,688027404785.1562
Asia,,1989,690829956054.6875
Asia,,1990,691112854003.9062
Asia,,1991,701909973144.5312
Asia,,1992,702152587890.625
Asia,,1993,702743164062.5
Asia,,1994,703858520507.8125
Asia,,1995,703449890136.7188
Asia,,1996,714487915039.0625
Asia,,1997,724842651367.1875
Asia,,1998,727898315429.6875
Asia,,1999,726086914062.5
Asia,,2000,737384887695.3125
Asia,,2001,740503540039.0625
Asia,,2002,789511718750
Asia,,2003,798036132812.5
Asia,,2004,805093505859.375
Asia,,2005,810666992187.5
Asia,,2006,812601623535.1562
Asia,,2007,831145202636.7188
Asia,,2008,833842590332.0312
Asia,,2009,834095458984.375
Asia,,2010,848343566894.5312
Asia,,2011,880360534667.9688
Asia,,2012,882302612304.6875
Asia,,2013,886485778808.5938
Asia,,2014,886789611816.4062
Asia,,2015,885553771972.6562
Asia,,2016,889701232910.1562
Asia,,2017,916173156738.2812
Asia,,2018,915823608398.4375
Asia,,2019,917411010742.1875
Asia,,2020,917154052734.375
Asia Pacific (BP),,1980,33573169708.251953
Asia Pacific (BP),,1981,34451545715.33203
Asia Pacific (BP),,1982,34398883819.58008
Asia Pacific (BP),,1983,35589313507.08008
Asia Pacific (BP),,1984,36846454620.36133
Asia Pacific (BP),,1985,37105743408.203125
Asia Pacific (BP),,1986,37750595092.77344
Asia Pacific (BP),,1987,37973468780.51758
Asia Pacific (BP),,1988,38181720733.64258
Asia Pacific (BP),,1989,32901428222.65625
Asia Pacific (BP),,1990,34655929565.42969
Asia Pacific (BP),,1991,36817729949.95117
Asia Pacific (BP),,1992,36280979156.49414
Asia Pacific (BP),,1993,36570320129.39453
Asia Pacific (BP),,1994,36581661224.365234
Asia Pacific (BP),,1995,36408248901.36719
Asia Pacific (BP),,1996,36445922851.5625
Asia Pacific (BP),,1997,37787418365.478516
Asia Pacific (BP),,1998,39483554840.08789
Asia Pacific (BP),,1999,37027732849.12109
Asia Pacific (BP),,2000,37672134399.41406
Asia Pacific (BP),,2001,38824546813.96484
Asia Pacific (BP),,2002,38948532104.49219
Asia Pacific (BP),,2003,38653545379.63867
Asia Pacific (BP),,2004,41519401550.29297
Asia Pacific (BP),,2005,41463855743.4082
Asia Pacific (BP),,2006,42805423736.572266
Asia Pacific (BP),,2007,43278663635.25391
Asia Pacific (BP),,2008,45952274322.509766
Asia Pacific (BP),,2009,46596797943.115234
Asia Pacific (BP),,2010,47783718109.13086
Asia Pacific (BP),,2011,47852642059.32617
Asia Pacific (BP),,2012,48522281646.728516
Asia Pacific (BP),,2013,49101272583.00781
Asia Pacific (BP),,2014,47663677215.57617
Asia Pacific (BP),,2015,46575054168.70117
Asia Pacific (BP),,2016,45909675598.14453
Asia Pacific (BP),,2017,45786262512.20703
Asia Pacific (BP),,2018,45906204223.63281
Asia Pacific (BP),,2019,45348930358.88672
Asia Pacific (BP),,2020,45158721923.828125
Australia,AUS,1980,2122811079.0252686
Australia,AUS,1981,2618448257.446289
Australia,AUS,1982,2931051731.109619
Australia,AUS,1983,2490765094.75708
Australia,AUS,1984,2559952974.319458
Australia,AUS,1985,2459316015.2435303
Australia,AUS,1986,2874443531.036377
Australia,AUS,1987,2905892610.5499268
Australia,AUS,1988,3188934087.753296
Australia,AUS,1989,3100876808.166504
Australia,AUS,1990,3157485008.239746
Australia,AUS,1991,3226672887.802124
Australia,AUS,1992,3220383167.2668457
Australia,AUS,1993,3258121967.315674
